ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Accession_Name,Country_of_Origin,Region,Alu.Tol,Flowering time at Arkansas,Flowering time at Faridpur,Flowering time at Aberdeen,FT ratio of Arkansas/Aberdeen,FT ratio of Faridpur/Aberdeen,Culm habit,Leaf pubescence,Flag leaf length,Flag leaf width,Awn presence,Panicle number per plant,Plant height,Panicle length,Primary panicle branch number,Seed number per panicle,Florets per panicle,Panicle fertility,Seed length,Seed width,Seed volume,Seed surface area,Brown rice seed length,Brown rice seed width,Brown rice surface area,Brown rice volume,Seed length/width ratio,Brown rice length/width ratio,Seed color,Pericarp color,Straighthead suseptability,Blast resistance,Amylose content,Alkali spreading value,Protein content
NSFTV319,39.66773449743741,-30.673940275203446,8.126831251501088,-4.1878503251911114,-0.6663278310999157,3.306055112809809,4.890044244061834,4.582872743775626,0.6425188143442266,0.9992418814844274,NA,NA,NA,0.28,100.75,76,97,1.038659794,0.783505155,6.5,1,30.4,1.381818182,0,3.496507561,127.2727273,25.94,6.9,4.812184355,4.874433673,0.94,7.7991,3.254908333,2.27676545,3.736859171,5.674075,2.731458333,3.359483496,5.867041667,2.396,2.077,light,dark,NA,4,23.00666667,5.5,7.4
NSFTV90,46.485470386904794,17.677447035971486,-8.41578420372586,0.48310407523150994,-1.1775261262292132,11.723404167601789,-2.650663788110039,-0.4457208441150273,-0.9494273575705211,-0.3916811512644412,NA,NA,NA,0.19,82.58333333,67,81,1.019547325,0.827160494,8.5,1,27.3,1.15,0,3.826663156,127.1666667,25.66363636,9.818181818,4.750450471,4.868932075,0.888,7.897816667,3.239491667,2.310393693,3.768750801,5.42567,2.63321,3.282081583,5.2099,2.438,2.06,light,light,8.168333334,3,0.095,6.958333334,8.15
NSFTV327,38.281656831662225,-27.314319570606216,6.705300379707342,-2.7188953380770595,0.4882850620222942,-1.4583201058688313,-3.837549087425373,-2.1938003794429957,-10.789053683351684,-1.1257257409295267,Goria,Bangladesh,S Asia,0.62,90,57,71,1.267605634,0.802816901,7.833333333,1,24.71666667,0.958333333,0,3.723683376,117.5,23.36363636,7.75,4.48863637,4.567468319,0.924,8.0125,2.960275,2.139619986,3.687759035,5.7526,2.508825,3.289803579,5.020133333,2.707,2.293,dark,dark,NA,8,NA,5.833333334,7.9
NSFTV322,38.407567658071045,-31.84184555566867,8.828330385024927,-5.417381354972368,0.10331348376579237,3.4398471251929856,6.96731786387634,6.020263860499131,1.1223564727545203,1.2764479925748582,DM 59,Bangladesh,S Asia,0.54,98.75,NA,92,1.073369565,NA,6,1,31.71818182,1.354545455,0,3.447338538,125,24.27,8,4.899195732,4.94875989,0.952,8.448358333,2.774625,2.052040368,3.67534114,6.095666667,2.354991667,3.270923218,4.577758333,3.045,2.588,light,light,NA,4,25.93333333,5.472222222,7.5
NSFTV112,3.6372967854676688,-9.730916293327587,7.042582512327415,33.85120498430566,-3.4408246371318754,-0.6022516826745129,0.6116704358464091,3.219429691936533,-0.4537405613343879,1.7052513009906796,N12,India,S Asia,0.15,97,78,178,0.54494382,0.438202247,2.6,1,33.67,1.05,0,3.438011355,151.4285714,27.62222222,10.66666667,4.893760936,5.062019493,0.845,8.7536,2.245333333,1.696891553,3.524225895,6.634558333,1.8599,3.113230454,3.052,3.899,3.567,light,light,8.335,1,22.745,7,7.65
NSFTV352,-22.14999140023581,10.002705348910562,21.47037454955847,-1.252564180460441,-12.81301689727393,-2.8752808796930074,-2.9436197299030917,3.701915189435524,0.9585668510378963,-3.936457519757683,Guatemala 1021,Guatemala,America,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.90666667,4,7.8
NSFTV231,46.24878919675675,19.922108813620685,-9.208486345959262,0.4192286939831492,-2.8772402100292256,14.088156090442627,-2.919587879289007,0.6370881092555171,-3.145358411566166,-3.968508300916367,Hunan Early Dwarf No. 3,China,E Asia,0.427,65.5,54,68,0.963235294,0.794117647,8,1,17.84166667,1.041666667,0,4.171819874,75.08333333,19.80833333,8.833333333,4.334017415,4.406719247,0.93,7.757816667,3.02635,2.169542152,3.689727636,5.591375,2.5741,3.281366313,5.079241667,2.563,2.172,light,light,5.498333334,1,23.82,6.5,9.65
NSFTV227,38.93806770205251,-9.853806783876038,0.9733875110380025,1.1259917511399848,-0.606482834840097,-9.476820261371033,-13.308089975115855,-9.132955450246738,11.288011854961201,5.00953941037529,Riz Local,Burkina Faso,Africa,0.25,107.1666667,NA,127,0.843832021,NA,5.5,NA,31.29166667,1.133333333,0,3.208825489,145.9166667,27.975,8,4.905891872,5.064702515,0.853,8.33975,3.425516667,2.479018515,3.879284915,5.974708333,2.87645,3.467482034,6.86435,2.435,2.077,light,dark,NA,9,24.67333333,5.291666667,8.25
NSFTV167,-23.35331418285683,7.839168303211057,16.628512496276528,-3.720290755343977,18.030229886122743,1.2029752231015907,-3.8849830282587376,2.6853592652738354,-0.3212351432428268,0.4853343443821186,B6616A4-22-Bk-5-4,United States,America,0.57,88.08333333,71,83,1.06124498,0.855421687,3,0,30.375,1.341666667,0,3.028522096,90.33333333,26.81666667,11.25,4.603502129,5.215841145,0.542,9.16464,2.53908,1.991794053,3.692071853,7.061266667,2.147233333,3.315196403,4.314483333,3.609,3.289,light,light,5.833333334,6,22.11,6.125,8.9
NSFTV253,-25.448245202643403,5.566402512316894,7.469272315833724,-2.7204029807631116,-11.335577662983027,-1.464950834292678,-2.250975567041373,5.149873424475961,-0.7611402646720101,-0.15688146162388092,NA,NA,NA,0.575,82.66666667,78,100,0.826666667,0.78,3.666666667,1,23.86666667,1.333333333,0,2.995732274,110.8888889,20.21666667,11.83333333,4.815566164,5.061539624,0.782,8.012216667,2.947133333,2.137452948,3.689285413,5.793618182,2.447718182,3.268864924,4.767963636,2.719,2.367,light,light,6.835,8,17.77666667,4,8.3
NSFTV246,35.845741472786784,-29.061178460135665,7.658110251956125,-4.155545864135865,-1.4665029607342026,2.1200239153409384,2.1749217777857828,2.491842038902083,1.1077346544313573,-0.5595062183637222,NA,NA,NA,0.36,94.75,64,73,1.297945205,0.876712329,4.5,1,22.79166667,0.891666667,0,3.54337187,125,20.59090909,6.727272727,4.632077639,4.659141709,0.973,7.791483333,3.058958333,2.202328198,3.710669077,5.759083333,2.589983333,3.324284239,5.352641667,2.547,2.224,light,light,NA,7,24.17,5.316666667,9.35
NSFTV239,-20.371991440253616,8.76201112989239,18.164590214470437,-1.1782545952748906,-11.522226831256132,-0.02412224970877898,2.752383865861662,-4.283463876035738,-2.523353738873195,1.9503558326075177,WAB 502-13-4-1,Cote D'Ivoire,Africa,0.731,78.5,76,85,0.923529412,0.894117647,3,1,26.3,1.455555556,0,2.756840365,106.8888889,24.6875,10.125,4.734442522,4.888090941,0.858,9.001075,3.558016667,2.624792377,3.989846792,6.498191667,2.937333333,3.564184382,7.665841667,2.53,2.212,light,light,4.833333334,1,13.54,3.208333334,8.9
NSFTV397,-19.239452560147537,6.341407131111344,15.054866041441787,-1.2277474119356124,22.750289522684792,-1.2858722252318424,-5.387390513356042,4.826198706201433,0.06998530565880624,-4.40868508582099,Cybonnet,United States,America,0.92,88.25,79,86,1.026162791,0.918604651,3,0,29.125,1.158333333,0,2.679879324,91.83333333,22.5625,13.625,5.167380009,5.416504361,0.779,9.16204,2.44306,1.95669747,3.678828108,7.1102,2.103309091,3.311634654,4.239627273,3.75,3.38,light,light,2.666666667,1,22.622,5.805555556,8.875
NSFTV618,-24.785168015116664,0.9437971312662001,1.4533333123680428,-1.4973030242255752,2.993330117383744,0.08343452404209656,-4.0396562612019355,3.937211334990606,0.0025597663108111323,-0.7696620415349181,Pecos,United States,America,NA,78.5,NA,NA,NA,NA,1,NA,27.93333333,1.4,0,3.308106959,86.83333333,20.15,10.16666667,4.8978398,5.11599581,0.804,7.73225,3.230666667,2.294378175,3.752596935,5.779316667,2.763116667,3.388992088,6.038733333,2.393,2.092,light,light,3.33,9,15.885,7,9.1
